"field 0°" "n_s 0°" "n_s_error 0°" "field 90°" "n_s 90°" "n_s_error 90°" "fit 0°" "fit 90°"
0.155 21303344.3760005 231.434577929435 0.155 20928672.3169413 1455.40443057311 21312185.649702653 21051688.195001546
0.16 21302439.1055154 214.569745298869 0.16 20916618.8814638 1385.27204830622 21312523.616019458 21086080.147308536
0.165 21299879.2098178 748.256272787618 0.165 20943262.6791713 1046.3434775979 21313087.766727872 21118381.51138661
0.17 21298317.9315626 200.937752294542 0.17 20943606.9806225 1149.10952595431 21313744.366180494 21148448.305848446
0.175 21293880.6272598 270.412045129939 0.175 20926596.2664273 1280.17358481177 21314482.507215142 21174677.431859132
0.18 21296654.2922767 657.150861892725 0.18 20959423.4086363 1223.83657394928 21314792.910081726 21197371.639668092
0.185 21292506.9205518 743.380421610335 0.185 20948721.2398242 1046.0589099643 21314816.431870718 21217060.170289222
0.19 21289896.5161977 522.052998438842 0.19 20942411.579479 1068.82163281879 21314512.142809976 21232679.586943474
0.195 21290047.0815232 292.204223417463 0.195 20951581.1822182 968.617486404068 21313873.447217587 21243541.67011094
0.2 21287862.6237374 816.286474487336 0.2 20949545.0853956 931.75910513109 21312946.38993367 21251908.029074535
0.205 21286508.4332696 170.358925658434 0.205 20958901.8932492 1130.406772861 21311690.15805655 21257687.25367872
0.21 21283218.4792387 811.545921190463 0.21 20937959.7024478 1120.44308142943 21309885.31626432 21259924.348726295
0.215 21278793.2507922 313.866898082754 0.215 20928012.1140976 1505.03497808859 21307835.817967728 21259157.3693992
0.22 21282680.9497109 157.310639131854 0.22 20947367.9923055 979.504743792162 21305545.429801688 21255349.883335378
0.225 21277262.1625579 625.981034052597 0.225 20930101.3419833 1113.81826550536 21302564.239566933 21249451.748688538
0.23 21275864.4901836 154.645339402654 0.23 20963529.0677067 1013.7596579277 21299341.88973766 21240350.252035923
0.235 21272990.1831415 156.548178712733 0.235 20957104.9669522 946.702121328656 21295868.30420246 21228315.29713189
0.24 21271504.7946768 139.135153638599 0.24 20928490.1297457 892.147293267914 21291864.329977028 21212866.1489086
0.245 21266875.5571434 149.63409454573 0.25 20953831.2281132 743.764453235775 21287514.85037532 21173961.132375237
0.25 21267658.592851 123.003121532932 0.27 20948718.6379589 1833.45583569484 21282882.315581366 21050686.1843412
0.25 21267658.592851 123.003121532932 0.29 20946883.8667502 1327.29060465688 21282882.315581366 20885495.55726072
0.27 21258285.1841246 174.028909729506 0.31 20926952.1125671 1315.9025776218 21261043.1557094 20761411.413928248
0.29 21244870.8053922 430.500005807472 0.33 20932812.7080192 1700.94095421744 21238322.50671141 20697757.793158524
0.31 21231165.7844359 429.241341780658 0.35 20933875.040281 2102.25001712727 21218716.3364306 20704227.946446512
0.33 21223427.7987328 366.32090667038 0.37 20924536.7342781 2276.60470642935 21201800.84614712 20771142.333556797
0.35 21214442.6978822 657.610023694969 0.39 20923939.0528307 1765.05034355228 21187195.290332396 20878221.887171634
0.37 21198430.0115891 792.467577058867 0.41 20911890.8059967 2115.1739484299 21175301.454267595 20942931.33479716
0.39 21180800.9722827 567.026099492433 0.43 20917656.5157232 1929.28052085679 21166508.17003176 20950603.91764105
0.41 21161880.1033236 465.619031594481 0.45 20904874.2167912 2441.55686664844 21156740.255040005 20916700.63422117
0.43 21147900.500451 429.497162247538 0.47 20894674.7684241 2283.95382651059 21141570.228143375 20876262.771814007
0.45 21131363.1575446 328.659781481698 0.49 20893061.3663722 2794.38347392385 21121324.35222273 20834066.7414761
0.47 21107955.5302203 292.006097790804 0.51 20882316.6845977 2015.20063669532 21099327.12670296 20790112.543207444
0.49 21083272.169213 236.641322818828 0.53 20878527.1922166 2608.15319750318 21076373.500073634 20744400.177008044
0.51 21055250.4943551 205.960468073888 0.55 20870670.7385507 2341.88589566816 21052463.472334754 20696929.642877895
0.53 21027600.8506647 320.405674458968    21027597.043486316 
0.55 20996619.9549996 529.215299266767    21001774.213528324 
